eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Atlas,FALSE,137670,0,0,0,0.3,0.5,0,0,33,0,0,0,42x36x18,0.602,0,12/11/1980,7E+15,NA,Secondary,Saturn,NA,NA,NA,5.0582915667901500,910.4924820222270,2.24586009581551E-09,3.68421052631579E-12,9.20267109122697E-04,4905222299323354e4
Prometheus,FALSE,139380,0,0,0.00204,0,0.48,0,0,33,0,0,0,133x79x61,0.613,0,??/10/1980,1.6E+17,NA,Secondary,Saturn,NA,NA,NA,4.996233318984070,899.321997417133,2.24586009581551E-09,8.42105263157895E-11,9.31697753101776E-04,10938514353409923e5
Pandora,FALSE,141720,0,0,0.0042,0,0.49,0,0,33,0,0,0,103x80x64,0.629,0,??/10/1980,1.4E+17,NA,Secondary,Saturn,NA,NA,NA,4.913738357324300,884.4729043183740,2.24586009581551E-09,7.36842105263158E-11,9.47339686967884E-04,9257741011622142e5
Pan,FALSE,133580,0,0,0,0,0.42,0,0,33,0,0,0,35x32x21,0.575,0,22/08/1981,4.95E+15,NA,Secondary,Saturn,NA,NA,NA,5.213168138942960,938.370265009732,2.24586009581551E-09,2.60526315789474E-12,8.92927147792619E-04,36843561039565943e3
Ymir,FALSE,23140400,0,0,0.187,167.9,1,0,0,9,0,0,0,NA,1315.4,0,07/08/2000,3.97E+15,NA,Secondary,Saturn,NA,NA,NA,0.030092435740090900,5.416638433216370,1.67047445143302E-10,2.08947368421053E-12,0.15468401984414100,984664004048878.4
Paaliaq,FALSE,15024000,6908035,23139965,0.364,47.2,1,0,0,10,0,0,0,NA,686.9,0,07/08/2000,7.25E+15,NA,Secondary,Saturn,NA,NA,NA,0.0463493077742279,8.342875399361020,2.06231413757163E-10,3.81578947368421E-12,0.10042923692496100,4265855453071323
Tarvos,FALSE,18263200,0,0,0.531,33.8,1,0,0,7,0,0,0,NA,926.2,0,23/09/2000,2.3E+15,NA,Secondary,Saturn,NA,NA,NA,0.03812853169214600,6.863135704586270,1.0105339274101E-10,1.21052631578947E-12,0.12208195153141300,915826834475457.4
Ijiraq,FALSE,11367400,0,0,0.316,49.1,1,0,0,5,0,0,0,NA,451.4,0,23/09/2000,1.18E+15,NA,Secondary,Saturn,NA,NA,NA,0.06125824726850470,11.02648450833080,5.15578534392908E-11,6.21052631578947E-13,0.07598637565367430,1212827403880459.5
Suttungr,FALSE,19476700,0,0,0.114,175.8,1,0,0,3,0,0,0,NA,1016.7,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03575271991661830,6.435489584991300,1.85608272381447E-11,1.21052631578947E-13,0.13019369800428600,80526044180309.10
Kiviuq,FALSE,11311100,0,0,0.334,48.7,1,0,0,7,0,0,0,NA,449.2,0,07/08/2000,2.79E+15,NA,Secondary,Saturn,NA,NA,NA,0.06156333159462830,11.081399687033100,1.0105339274101E-10,1.46842105263158E-12,0.07561003339869060,2896235003851663
Mundilfari,FALSE,18667900,0,0,0.21,169.4,1,0,0,3,0,0,0,NA,952.6,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03730173184985990,6.714311732974790,1.85608272381447E-11,1.21052631578947E-13,0.12478720393979500,87654896878424.10
Albiorix,FALSE,16401100,0,0,0.469,34,1,0,0,13,0,0,0,NA,783.5,13.32,09/11/2000,2.23E+16,NA,Secondary,Saturn,NA,NA,NA,0.042457822950899600,7.642408131161930,3.48531089249606E-10,1.17368421052632E-11,0.10963458185103700,11010275564898812
Skathi,FALSE,15614300,0,0,0.27,148.5,1,0,0,3,0,0,0,NA,728.2,0,23/09/2000,350000000000000,NA,Secondary,Saturn,NA,NA,NA,0.04459661976521520,8.02739155773874,1.85608272381447E-11,1.84210526315789E-13,0.10437514870323600,190661183506169.72
